iter	RMSE
0	7238.92066
1	6720.451758
2	6272.274956
3	5867.6305
4	5511.790063
5	5198.428949
6	4929.191179
7	4656.405427
8	4423.487506
9	4216.660481
10	4039.464485
11	3889.831532
12	3763.439984
13	3647.952751
14	3553.317152
15	3473.42757
16	3399.219713
17	3339.059071
18	3287.501153
19	3240.709924
20	3201.578827
21	3169.922265
22	3137.340624
23	3113.524903
24	3089.281419
25	3066.942088
26	3049.581321
27	3034.589941
28	3017.142209
29	3002.264993
30	2988.863148
31	2979.382021
32	2970.909903
33	2961.76589
34	2951.984206
35	2950.970257
36	2942.810993
37	2934.430456
38	2927.918895
39	2921.428219
40	2912.425172
41	2905.63794
42	2899.151493
43	2889.197228
44	2882.614223
45	2877.761118
46	2872.754639
47	2865.913149
48	2862.223966
49	2857.875635
50	2854.131595
51	2851.622846
52	2847.462772
53	2843.645345
54	2840.194013
55	2837.255519
56	2833.823885
57	2830.287653
58	2828.149678
59	2828.133257
60	2824.761876
61	2824.336381
62	2822.262637
63	2820.4435
64	2817.886411
65	2814.568115
66	2813.378238
67	2810.862299
68	2807.478856
69	2805.615548
70	2803.70487
71	2801.911158
72	2799.756716
73	2796.896599
74	2795.076921
75	2793.413936
76	2792.7918
77	2790.316667
78	2788.572034
79	2787.107217
80	2785.406773
81	2784.046716
82	2781.94608
83	2780.315933
84	2779.141616
85	2778.153776
86	2777.103315
87	2776.336872
88	2773.59798
89	2770.354425
90	2768.911672
91	2767.634374
92	2766.665284
93	2764.938831
94	2763.771558
95	2761.347306
96	2759.61355
97	2758.072563
98	2756.799494
99	2755.731099
100	2754.830371
101	2753.204433
102	2752.299164
103	2750.461125
104	2748.354451
105	2747.827259
106	2746.846254
107	2745.852827
108	2745.18631
109	2744.380055
110	2743.074991
111	2740.820013
112	2739.527017
113	2739.139233
114	2738.144584
115	2736.317628
116	2735.343287
117	2734.954322
118	2733.430381
119	2732.040725
120	2730.905911
121	2730.435361
122	2729.427889
123	2728.788158
124	2727.760718
125	2727.244291
126	2725.690229
127	2725.204812
128	2723.788717
129	2722.990448
130	2722.388546
131	2721.754861
132	2721.163389
133	2720.483012
134	2719.686536
135	2718.578529
136	2717.761591
137	2716.793579
138	2716.381916
139	2715.519527
140	2714.715113
141	2714.093319
142	2712.870993
143	2712.108236
144	2711.065506
145	2709.964577
146	2708.944209
147	2708.177361
148	2707.394915
149	2706.698292
150	2706.20601
151	2705.668687
152	2704.56625
153	2703.667243
154	2702.96034
155	2702.333533
156	2701.492954
157	2700.979349
158	2700.47333
159	2699.832141
160	2699.167821
161	2698.623531
162	2698.031509
163	2697.527612
164	2696.441723
165	2695.449542
166	2694.739514
167	2694.406044
168	2693.556008
169	2692.349462
170	2691.33512
171	2690.425566
172	2689.215848
173	2688.517829
174	2688.029658
175	2687.606799
176	2686.956625
177	2686.600011
178	2685.362224
179	2684.704213
180	2684.239362
181	2683.596635
182	2682.674424
183	2681.376959
184	2681.114422
185	2680.488804
186	2679.967468
187	2679.258818
188	2678.302634
189	2677.695843
190	2676.988231
191	2676.349348
192	2675.690952
193	2675.237776
194	2674.526789
195	2673.942395
196	2673.318041
197	2672.978211
198	2672.278688
199	2671.724969
