iter	Passed	Remaining
0	276	55067
1	425	42133
2	560	36773
3	686	33625
4	838	32715
5	973	31467
6	1106	30519
7	1259	30225
8	1377	29226
9	1498	28463
10	1614	27734
11	1738	27234
12	1860	26768
13	1982	26333
14	2103	25939
15	2251	25897
16	2377	25588
17	2508	25360
18	2626	25024
19	2759	24834
20	2877	24528
21	3004	24307
22	3120	24015
23	3258	23898
24	3386	23708
25	3501	23435
26	3651	23396
27	3812	23421
28	3960	23353
29	4081	23128
30	4204	22922
31	4336	22765
32	4464	22595
33	4583	22380
34	4705	22180
35	4726	21532
36	4846	21351
37	4975	21210
38	5093	21026
39	5218	20875
40	5348	20741
41	5473	20590
42	5595	20429
43	5716	20266
44	5843	20129
45	5970	19989
46	6083	19802
47	6206	19654
48	6351	19571
49	6470	19411
50	6588	19248
51	6704	19083
52	6830	18944
53	6950	18793
54	7087	18684
55	7210	18542
56	7340	18414
57	7473	18297
58	7603	18169
59	7657	17866
60	7881	17958
61	7971	17742
62	8188	17807
63	8602	18281
64	8961	18613
65	9288	18859
66	10082	20015
67	10627	20630
68	10868	20634
69	11047	20516
70	11267	20471
71	11496	20438
72	11674	20310
73	11803	20098
74	11952	19921
75	12094	19733
76	12561	20065
77	12727	19907
78	12993	19901
79	13274	19911
80	13500	19833
81	13683	19690
82	13813	19472
83	13936	19246
84	14067	19031
85	14259	18901
86	14389	18689
87	14514	18472
88	14645	18265
89	14777	18060
90	14904	17852
91	15042	17658
92	15286	17587
93	15508	17488
94	15653	17301
95	15778	17093
96	15918	16903
97	16036	16691
98	16190	16517
99	16329	16329
100	16450	16125
101	16566	15916
102	16685	15713
103	16819	15525
104	16941	15327
105	17055	15124
106	17197	14946
107	17326	14759
108	17454	14571
109	17641	14433
110	17775	14252
111	17906	14069
112	18040	13889
113	18174	13710
114	18307	13531
115	18428	13344
116	18559	13165
117	18710	13002
118	18836	12821
119	18975	12650
120	19101	12471
121	19246	12305
122	19374	12128
123	19501	11952
124	19628	11777
125	19750	11599
126	19875	11424
127	19995	11247
128	20117	11072
129	20273	10916
130	20396	10743
131	20526	10574
132	20649	10402
133	20806	10248
134	20941	10082
135	21062	9911
136	21197	9747
137	21339	9587
138	21477	9425
139	21601	9257
140	21734	9094
141	21854	8926
142	21973	8758
143	22096	8593
144	22230	8432
145	22373	8275
146	22664	8171
147	22833	8022
148	23056	7891
149	23215	7738
150	23349	7577
151	23477	7413
152	23601	7250
153	23753	7095
154	23874	6931
155	23995	6767
156	24130	6608
157	24269	6451
158	24402	6292
159	24533	6133
160	24662	5974
161	24808	5819
162	24952	5663
163	25088	5507
164	25229	5351
165	25356	5193
166	25478	5034
167	25607	4877
168	25734	4720
169	25859	4563
170	25986	4407
171	26108	4250
172	26244	4095
173	26393	3943
174	26516	3788
175	26642	3633
176	26769	3478
177	26899	3324
178	27027	3170
179	27162	3018
180	27292	2864
181	27430	2712
182	27563	2560
183	27693	2408
184	27812	2255
185	27936	2102
186	28051	1950
187	28171	1798
188	28302	1647
189	28423	1495
190	28549	1345
191	28702	1195
192	28825	1045
193	28989	896
194	29128	746
195	29251	596
196	29382	447
197	29511	298
198	29639	148
199	29774	0
